,Method,MSE
0,Random Forest,0.3347049974037716
1,Random Forest,0.4969682023931915
2,Random Forest,0.27692338489524404
3,Random Forest,0.4179347230099258
4,Random Forest,0.3541135223532133
5,Random Forest,0.44289085583588295
6,Random Forest,0.41020775727486514
7,Random Forest,0.5743586508906622
8,Random Forest,0.4780929589382382
9,Random Forest,0.604564779156491
10,Random Forest,0.3198230966328312
11,Random Forest,0.3961715852993083
12,Random Forest,0.47433397130395766
13,Random Forest,0.40635567747734563
14,Random Forest,0.4647381374456117
15,Random Forest,0.6288925858239356
16,Random Forest,0.6145483708193332
17,Random Forest,0.3688069345208752
18,Random Forest,0.35001344795219325
19,Random Forest,0.5620165870520626
20,Random Forest,0.45204881202418196
21,Random Forest,0.36797321069927785
22,Random Forest,0.5708073736420314
23,Random Forest,0.3376435444676755
24,Random Forest,0.5296765955224934
25,Random Forest,0.6025697553467789
26,Random Forest,0.4421367460330397
27,Random Forest,0.400355650463678
28,Random Forest,0.3770445796304745
29,Random Forest,0.5946261434417183
30,Random Forest,0.33504221182587124
31,Random Forest,0.3720344960794402
32,Random Forest,0.38189477968829855
33,Random Forest,0.4953870063063087
34,Random Forest,0.4838900662589095
35,Random Forest,0.5953703451946766
36,Random Forest,0.49029125450603017
37,Random Forest,0.4561906975984929
38,Random Forest,0.48270153292686035
39,Random Forest,0.3931074705437461
40,Random Forest,0.4038194872759625
41,Random Forest,0.5093904835967652
42,Random Forest,0.5143319385853332
43,Random Forest,0.30985797812452176
44,Random Forest,0.5392547045875414
45,Random Forest,0.401324182762956
46,Random Forest,0.482276463227298
47,Random Forest,0.4049974993654814
48,Random Forest,0.5194356041010091
49,Random Forest,0.3845104737787416
50,Random Forest,0.4368054296885601
51,Random Forest,0.30343829389463517
52,Random Forest,0.442517820557413
53,Random Forest,0.38422949767621495
54,Random Forest,0.36544816461980345
55,Random Forest,0.4646550746402457
56,Random Forest,0.37806360202337025
57,Random Forest,0.46649424056131716
58,Random Forest,0.3540082793729528
59,Random Forest,0.43022229261001604
60,Random Forest,0.342957866089184
61,Random Forest,0.26360347366138714
62,Random Forest,0.5314520013984874
63,Random Forest,0.3492679444220085
64,Random Forest,0.45040264824462445
65,Random Forest,0.48311036107894767
66,Random Forest,0.39414216157159077
67,Random Forest,0.5139052549722075
68,Random Forest,0.5146752575596223
69,Random Forest,0.43249075803249937
70,Random Forest,0.4900420895781606
71,Random Forest,0.4330241715304922
72,Random Forest,0.3783464979401172
73,Random Forest,0.42586741870516426
74,Random Forest,0.43055895317497556
75,Random Forest,0.410133592217207
76,Random Forest,0.4788389400178589
77,Random Forest,0.5123815416768236
78,Random Forest,0.5070748246782613
79,Random Forest,0.6259932330025861
80,Random Forest,0.5080793652970869
81,Random Forest,0.6050739333495961
82,Random Forest,0.5133600530880069
83,Random Forest,0.2756196060134844
84,Random Forest,0.3598573232510452
85,Random Forest,0.3501092727790098
86,Random Forest,0.33005157392039663
87,Random Forest,0.45261290163457685
88,Random Forest,0.5140850413489138
89,Random Forest,0.2989986186271539
90,Random Forest,0.3290177283868426
91,Random Forest,0.4392922029729426
92,Random Forest,0.38669477944231573
93,Random Forest,0.3517781733619799
94,Random Forest,0.35597586419291566
95,Random Forest,0.35010426948415285
96,Random Forest,0.4437263194946201
97,Random Forest,0.26816962035134984
98,Random Forest,0.35929649495395605
99,Random Forest,0.4920596787211785
100,Random Forest,0.3720452171698878
101,Random Forest,0.5480630017723878
102,Random Forest,0.4627504938630545
103,Random Forest,0.3743783989328497
104,Random Forest,0.4829424354748082
105,Random Forest,0.5698141888745372
106,Random Forest,0.47240659855995465
107,Random Forest,0.3695075027104212
108,Random Forest,0.35490443313672293
109,Random Forest,0.3923862709858283
110,Random Forest,0.4996173665771389
111,Random Forest,0.4213974647972754
112,Random Forest,0.3006569634944488
113,Random Forest,0.4993387861441013
114,Random Forest,0.4735724753333474
115,Random Forest,0.4696670888722645
116,Random Forest,0.2701495096790957
117,Random Forest,0.5580188563243136
118,Random Forest,0.41393161118600386
119,Random Forest,0.44103272977380376
120,Random Forest,0.3904097754846235
121,Random Forest,0.5917791578452083
122,Random Forest,0.33842891129128694
123,Random Forest,0.34239758353419336
124,Random Forest,0.547225854686013
125,Random Forest,0.6648900082157368
126,Random Forest,0.41606329556884025
127,Random Forest,0.353676436425262
128,Random Forest,0.44435468068441236
129,Random Forest,0.4854253229434364
130,Random Forest,0.4985310751192009
131,Random Forest,0.4080045257251827
132,Random Forest,0.6363752611703715
