,Size,Method,MSE
0,20,Random Forest,1.0017843365959398
1,25,Random Forest,0.6511803416895208
2,30,Random Forest,0.263687989107013
3,35,Random Forest,0.7376807455042446
4,40,Random Forest,0.8329407283047965
5,45,Random Forest,0.458775100017109
6,50,Random Forest,1.143169793026677
7,55,Random Forest,0.6578640045834786
8,60,Random Forest,0.3553290275865269
9,65,Random Forest,0.9430855885759459
10,70,Random Forest,0.5690881409610297
11,75,Random Forest,0.7130404206165931
12,80,Random Forest,0.9791030613894279
13,85,Random Forest,0.5836240812839409
14,90,Random Forest,0.6097669607301657
15,95,Random Forest,0.6099339900947977
16,100,Random Forest,0.6766828894553496
17,105,Random Forest,0.5109640681533687
18,110,Random Forest,0.4455571685226858
19,115,Random Forest,0.32897252551448064
20,120,Random Forest,0.7615953938370271
21,20,Random Forest,2.2138601401331828
22,25,Random Forest,0.33136073010929024
23,30,Random Forest,0.6658329143031096
24,35,Random Forest,0.22131313515320267
25,40,Random Forest,0.4182927567150433
26,45,Random Forest,1.0644888819353144
27,50,Random Forest,0.9021806703069855
28,55,Random Forest,0.6308325602467851
29,60,Random Forest,0.6097721132369053
30,65,Random Forest,0.9460011235743641
31,70,Random Forest,0.48654119816373104
32,75,Random Forest,0.5191081733368693
33,80,Random Forest,0.6276504181471971
34,85,Random Forest,0.5350659876920014
35,90,Random Forest,0.7768235018096878
36,95,Random Forest,0.42989695578100545
37,100,Random Forest,0.7796466661053929
38,105,Random Forest,0.5660148271474076
39,110,Random Forest,0.7786222888162374
40,115,Random Forest,0.731482014772009
41,120,Random Forest,0.6855501944736228
42,20,Random Forest,0.47609885199986124
43,25,Random Forest,0.7136769927054326
44,30,Random Forest,1.249265300403813
45,35,Random Forest,0.47373599640358244
46,40,Random Forest,0.5106446792587378
47,45,Random Forest,1.2678067801863788
48,50,Random Forest,0.3490863452795212
49,55,Random Forest,0.43092535032287355
50,60,Random Forest,0.8909407757754552
51,65,Random Forest,0.5758585411055719
52,70,Random Forest,1.014928928173558
53,75,Random Forest,0.9716658254653066
54,80,Random Forest,0.37262259255654756
55,85,Random Forest,0.5177456998570333
56,90,Random Forest,0.824555467833566
57,95,Random Forest,0.7191539639229184
58,100,Random Forest,0.5381491374866727
59,105,Random Forest,0.46718828328198875
60,110,Random Forest,0.4182586187461169
