,Method,MSE
0,Random Forest,0.13024289166729228
1,Random Forest,0.1041406539695573
2,Random Forest,0.08584360504506856
3,Random Forest,0.0699414674421558
4,Random Forest,0.08764023577958402
5,Random Forest,0.11292332304050727
6,Random Forest,0.1380340290023211
7,Random Forest,0.12758659696234462
8,Random Forest,0.10624069756291961
9,Random Forest,0.0529786978895938
10,Random Forest,0.09177007544361505
11,Random Forest,0.13692340017381657
12,Random Forest,0.09135073703440288
13,Random Forest,0.08860034822074148
14,Random Forest,0.12185723622709325
15,Random Forest,0.10603989935897513
16,Random Forest,0.10209955601128591
17,Random Forest,0.11043057267563887
18,Random Forest,0.10377914435700845
19,Random Forest,0.12361632406008997
20,Random Forest,0.154251130586466
21,Random Forest,0.08100891395448585
22,Random Forest,0.1250949268429278
23,Random Forest,0.08742716476907143
24,Random Forest,0.05528519525600267
25,Random Forest,0.10248043889614838
26,Random Forest,0.04207475573020756
27,Random Forest,0.06142377521617088
28,Random Forest,0.049881551449244464
29,Random Forest,0.09973397304364962
30,Random Forest,0.08783783928925055
31,Random Forest,0.14457359789203433
32,Random Forest,0.16904396744429065
33,Random Forest,0.10029185050161349
34,Random Forest,0.0883702839108661
35,Random Forest,0.11756343313432495
36,Random Forest,0.05375850128193032
37,Random Forest,0.05462157776384735
38,Random Forest,0.07406828616771431
39,Random Forest,0.1435754353205209
40,Random Forest,0.10811620521481462
41,Random Forest,0.15487339288790833
42,Random Forest,0.07359457965852144
43,Random Forest,0.07932082811758076
44,Random Forest,0.12267154824307641
45,Random Forest,0.07565134866871594
46,Random Forest,0.07544704664452
47,Random Forest,0.11422703813671993
48,Random Forest,0.11258539457678014
49,Random Forest,0.07305054845558656
50,Random Forest,0.1223440952577426
51,Random Forest,0.05208661935789893
52,Random Forest,0.09573753284281565
53,Random Forest,0.0787738386652813
54,Random Forest,0.11116435404433787
55,Random Forest,0.07779101286032841
56,Random Forest,0.06269896769873706
57,Random Forest,0.052375421780647045
58,Random Forest,0.11685049161708481
59,Random Forest,0.08965433169719661
60,Random Forest,0.08291472177647491
61,Random Forest,0.09673103394053557
62,Random Forest,0.08284897339545157
63,Random Forest,0.11738572721339358
64,Random Forest,0.14057598786441441
65,Random Forest,0.058993744567111574
66,Random Forest,0.09791456835696404
67,Random Forest,0.08685093647509078
68,Random Forest,0.04750198199559371
69,Random Forest,0.13530500522332792
70,Random Forest,0.08870810012982581
71,Random Forest,0.10544526334777515
72,Random Forest,0.07829186896466855
73,Random Forest,0.0916853994342924
74,Random Forest,0.09171000544313268
75,Random Forest,0.07300554093005383
76,Random Forest,0.09240970464238941
77,Random Forest,0.07071367692030794
78,Random Forest,0.07712648251610736
79,Random Forest,0.12036523673699599
80,Random Forest,0.09792453659129641
81,Random Forest,0.09438558352766707
82,Random Forest,0.09933037590808126
83,Random Forest,0.11439360745125199
84,Random Forest,0.11065202233879086
85,Random Forest,0.125796232703865
86,Random Forest,0.12955678396670525
87,Random Forest,0.08781372623358845
88,Random Forest,0.11067143281664626
89,Random Forest,0.09314638245532347
90,Random Forest,0.07128063347546866
91,Random Forest,0.10009465106776012
92,Random Forest,0.0663256896534829
93,Random Forest,0.052514904332663946
94,Random Forest,0.06360819566767024
95,Random Forest,0.15862612807202356
96,Random Forest,0.09348379055367258
97,Random Forest,0.08426933176574498
98,Random Forest,0.17194629317841095
99,Random Forest,0.07234316292443299
100,Random Forest,0.0988100969095075
101,Random Forest,0.11302299925874643
102,Random Forest,0.1352927682090194
103,Random Forest,0.11705982082780071
104,Random Forest,0.13878589611142797
105,Random Forest,0.08454464578420469
106,Random Forest,0.11990616722347776
107,Random Forest,0.10655568894121675
108,Random Forest,0.08163351049209965
109,Random Forest,0.12494380422751451
110,Random Forest,0.07677895412573864
111,Random Forest,0.12597930596492735
112,Random Forest,0.07991512578191277
113,Random Forest,0.08845829090118495
114,Random Forest,0.07902031947034245
115,Random Forest,0.1018646157173364
116,Random Forest,0.09526241067988421
117,Random Forest,0.06832362448425454
118,Random Forest,0.13160793775712856
119,Random Forest,0.05401394638224117
120,Random Forest,0.1019425402699704
121,Random Forest,0.10865880131204773
122,Random Forest,0.07330729824497353
123,Random Forest,0.1707027680396643
124,Random Forest,0.09225202389022742
125,Random Forest,0.11564739440635936
126,Random Forest,0.055686924450212415
127,Random Forest,0.05140247253193473
128,Random Forest,0.09145803185721472
129,Random Forest,0.08609936457398791
130,Random Forest,0.10252726610611577
131,Random Forest,0.1279878339736176
132,Random Forest,0.11272093561929653
