,Size,Method,MSE
0,20,Random Forest,0.18877104898356878
1,25,Random Forest,0.19731195892950965
2,30,Random Forest,0.1816533664990856
3,35,Random Forest,0.09289219826610481
4,40,Random Forest,0.14962274353778732
5,45,Random Forest,0.067044960544787
6,50,Random Forest,0.0695293043908278
7,55,Random Forest,0.14820490957069005
8,60,Random Forest,0.12789306750386378
9,65,Random Forest,0.06823897453441627
10,70,Random Forest,0.11812520930692161
11,75,Random Forest,0.15696745006362708
12,80,Random Forest,0.07426873669651937
13,85,Random Forest,0.12900909814049558
14,90,Random Forest,0.0671219639818002
15,95,Random Forest,0.082201075572563
16,100,Random Forest,0.06931096007927379
17,105,Random Forest,0.06541544492565536
18,110,Random Forest,0.07404541294835651
19,115,Random Forest,0.10284852554813664
20,120,Random Forest,0.10226871746547113
21,20,Random Forest,0.2985341936402317
22,25,Random Forest,0.29257940558861834
23,30,Random Forest,0.31001454005352846
24,35,Random Forest,0.009776516621674558
25,40,Random Forest,0.16960067604011275
26,45,Random Forest,0.05239924726548539
27,50,Random Forest,0.14254892138584657
28,55,Random Forest,0.04377077957053227
29,60,Random Forest,0.18612180030852402
30,65,Random Forest,0.11987180402062195
31,70,Random Forest,0.08548876094256318
32,75,Random Forest,0.09616610202470056
33,80,Random Forest,0.1531491572137677
34,85,Random Forest,0.07854422756087695
35,90,Random Forest,0.1440528916642802
36,95,Random Forest,0.05060101707117051
37,100,Random Forest,0.15599648543407196
38,105,Random Forest,0.118086324886888
39,110,Random Forest,0.05398018398955089
40,115,Random Forest,0.1424282680806472
41,120,Random Forest,0.16318980827107069
42,20,Random Forest,0.45550242828477083
43,25,Random Forest,0.7605371639938869
44,30,Random Forest,0.06770477499192867
45,35,Random Forest,0.23724939404688192
46,40,Random Forest,0.22502339115272757
47,45,Random Forest,0.25373331613210787
48,50,Random Forest,0.16704825145096383
49,55,Random Forest,0.1665827358452638
50,60,Random Forest,0.10862683950006564
51,65,Random Forest,0.06617404684351023
52,70,Random Forest,0.15634097613881107
53,75,Random Forest,0.08773235722556107
54,80,Random Forest,0.09409898717050547
55,85,Random Forest,0.07096496860756867
56,90,Random Forest,0.1884691715904195
57,95,Random Forest,0.0506545484697448
58,100,Random Forest,0.07589826614799994
59,105,Random Forest,0.12411466347178265
60,110,Random Forest,0.12383063839715595
61,115,Random Forest,0.08233347040358502
62,120,Random Forest,0.08313506712077855
63,20,Random Forest,0.7614728924562997
64,25,Random Forest,0.12365268965798007
65,30,Random Forest,0.1402817180954323
66,35,Random Forest,0.15083792897405623
67,40,Random Forest,0.16244949149677484
68,45,Random Forest,0.22549070361226242
69,50,Random Forest,0.022638611291083115
70,55,Random Forest,0.2536240570163277
71,60,Random Forest,0.05176200214765964
72,65,Random Forest,0.069850047862438
73,70,Random Forest,0.1350458312001189
74,75,Random Forest,0.07832630896286466
75,80,Random Forest,0.07367650988808885
76,85,Random Forest,0.08591119352796395
77,90,Random Forest,0.11209130379958153
78,95,Random Forest,0.03647322981918157
79,100,Random Forest,0.1175427561341843
80,105,Random Forest,0.055574623165180886
81,110,Random Forest,0.11578616356122186
82,115,Random Forest,0.0702976805283636
83,120,Random Forest,0.07313129826189135
84,20,Random Forest,0.1322602727678738
85,25,Random Forest,0.07035239404248203
86,30,Random Forest,0.07115307281364851
87,35,Random Forest,0.17477493708971314
88,40,Random Forest,0.36012262831080044
89,45,Random Forest,0.23853467198701964
90,50,Random Forest,0.07297577207349563
91,55,Random Forest,0.13358907650561364
92,60,Random Forest,0.15529279386385147
93,65,Random Forest,0.19906071229714623
94,70,Random Forest,0.04657609658685064
95,75,Random Forest,0.1447088725236524
96,80,Random Forest,0.10551808476413105
97,85,Random Forest,0.17539062089811017
98,90,Random Forest,0.08263865774783671
99,95,Random Forest,0.15823097483754997
100,100,Random Forest,0.08336299843225844
101,105,Random Forest,0.13298701497198578
102,110,Random Forest,0.10297195375886026
103,115,Random Forest,0.09991668575279532
104,120,Random Forest,0.07492929277904421
105,20,Random Forest,0.0038674230298842904
106,25,Random Forest,0.034994538028530676
107,30,Random Forest,0.14636863939997743
108,35,Random Forest,0.3537469880385729
109,40,Random Forest,0.12756715408691682
110,45,Random Forest,0.12696043416803476
111,50,Random Forest,0.14361392381852262
112,55,Random Forest,0.07305513341551771
113,60,Random Forest,0.10367599083608837
114,65,Random Forest,0.13411066691131468
115,70,Random Forest,0.08362026027499768
116,75,Random Forest,0.1481714403229734
117,80,Random Forest,0.12204269699042912
118,85,Random Forest,0.08977858519051224
119,90,Random Forest,0.06707460302159683
120,95,Random Forest,0.13197799819423947
121,100,Random Forest,0.05485686884809056
122,105,Random Forest,0.09550965165902174
123,110,Random Forest,0.12206912798216794
124,115,Random Forest,0.07571057522290427
125,120,Random Forest,0.07232804316685758
126,20,Random Forest,0.3437749765738702
